tce,score,disp,N,S,C,E,flags,Period,Epoch,Width,SES_max,MES,LPP_DV,LPP_ALT,Marshall,σ_oe_dv,σ_oe_alt,σ_pri_dv,σ_sec_dv,σ_ter_dv,σ_pos_dv,F_red_dv,σ_fa1_dv,σ_fa2_dv,σ_pri_alt,σ_sec_alt,σ_ter_alt,σ_pos_alt,F_red_alt,σ_fa1_alt,σ_fa2_alt,Rp,Impact,A_dv,D_pri_dv,D_sec_dv,Ph_sec_dv,A_alt,D_pri_alt,D_sec_alt,Ph_sec_alt,Cent_Disp,EM_Disp,ses_art,sweet_snr,sweet_amp,fer_shape,boot_fa,gb_hc_rat,chi2_1,chi2_2,chi2_gof,rec_mes,new_mes,ngood,kic,pn,period,epoch,mes,depth,duration,rplanet,rstar,tstar,logg,a,rprstar,arstar,snr,srad
008297017-02,0.08,PC,0,0,0,0,EYEBALL---SATURATED,128.207009,230.199177,3.755,6.417,8.973,1.603,2.075,0.0,2.316,0.778,17.35,9.492,8.626,8.366,2.554,5.395,3.201,12.37,6.108,5.94,7.073,1.819,5.45,3.289,9.18,0.98,414.6,0.0003446,0.0001885,0.1768,565.3,0.0002697,0.0001332,0.8388,0.0,0.0,0.0,6.991,7.69,1.003,4.56e-12,0.0,8.815,13.47,8.52,8.965,8.478,5.0,8297017,2,128.20700866,230.19917679,8.9734,359.3,3.7551,9.624,3.811,7128,3.52,0.60025,0.023141,76.84,9.4,93.234
008359569-01,0.12,PC,0,0,0,0,EYEBALL---TOO_FEW_QUARTERS,152.823981,147.548032,7.855,5.035,8.583,0.9277,1.235,2.289,0.6194,0.5969,11.18,3.528,3.419,3.577,1.098,5.306,3.056,10.39,3.339,3.255,3.406,0.926,5.324,3.086,2.76,0.819,3344.0,0.0004479,0.0001414,0.5273,3577.0,0.0004368,0.0001403,0.5273,0.0,0.0,0.0,4.243,12.56,0.8409,1.67e-16,0.0,12.22,9.248,8.036,8.868,8.904,6.0,8359569,1,152.82398137,147.54803197,8.5835,452.4,7.8549,2.694,1.137,6452,4.394,0.58929,0.021711,90.75,8.9,5.78
008489260-01,0.15,PC,0,0,0,0,,130.232869,218.29276,6.523,4.604,7.606,0.7445,0.9857,0.0,0.3046,0.03218,10.48,3.662,3.544,3.902,1.135,5.309,3.061,10.3,3.282,3.115,3.797,0.9993,5.333,3.1,3.31,0.672,2675.0,0.0006574,0.0002296,0.6837,2389.0,0.0006784,0.0002161,0.05336,0.0,0.0,0.0,2.899,13.83,0.6959,4.22e-13,0.0,7.524,11.66,7.756,7.61,7.61,10.0,8489260,1,130.2328695,218.29276001,7.606,630.3,6.5227,2.397,0.903,5616,4.529,0.50385,0.02433,117.98,7.6,2.863
009521317-01,0.39,PC,0,0,0,0,,188.881022,280.069663,1.581,5.128,8.658,0.8009,0.9662,5.5,1.2,0.3587,16.75,4.687,4.632,6.342,1.338,5.603,3.527,14.95,4.277,4.186,4.153,1.022,5.638,3.579,2.37,0.913,4275.0,0.0003661,0.0001025,0.8129,4387.0,0.0003079,8.806e-05,0.7115,0.0,0.0,0.0,9.056,70.55,0.933,6.33e-14,0.7044,8.298,9.976,6.833,8.611,8.611,6.0,9521317,1,188.88102232,280.06966314,8.6582,330.1,1.5808,2.175,0.999,6077,4.471,0.66049,0.019954,415.0,9.9,2.795
009935983-01,0.15,PC,0,0,0,0,,161.651035,289.325593,2.522,4.035,8.374,0.9148,0.807,1.384,0.8462,0.9747,10.67,4.292,3.965,4.521,1.152,5.522,3.401,10.1,3.861,3.848,4.149,1.123,5.514,3.389,4.15,0.816,1197.0,0.0002619,0.0001053,0.3046,1063.0,0.0002596,9.928e-05,0.3045,0.0,0.0,0.0,3.109,3.14,0.8324,7.87e-17,0.3899,10.79,11.41,7.092,8.41,8.41,8.0,9935983,1,161.6510351,289.32559282,8.3739,255.9,2.5218,2.315,1.289,5725,4.212,0.57843,0.016457,296.82,8.3,4.78
010003058-01,0.26,PC,0,0,0,0,,148.567881,139.604687,4.515,4.82,9.631,0.7633,0.7517,0.0,2.353,1.096,13.4,4.167,4.08,4.408,1.147,5.391,3.195,12.04,3.8,3.383,4.086,0.9821,5.414,3.232,6.19,0.825,739.1,0.0003984,0.0001238,0.5499,609.8,0.0003802,0.00012,0.3348,0.0,0.0,0.0,4.291,6.48,0.8445,5.36e-22,0.09681,8.493,19.22,9.923,9.629,8.236,6.0,10003058,1,148.56788105,139.60468679,9.6314,364.6,4.515,6.417,2.985,5814,3.68,0.63622,0.019699,150.74,9.6,22.535
010263598-01,0.49,PC,0,0,0,0,,145.743623,199.644628,12.507,3.729,7.407,1.231,1.294,0.0,0.6177,0.2114,18.63,6.776,6.325,6.483,2.219,5.214,2.904,17.2,2.859,2.707,3.529,0.9607,5.207,2.891,17.2,0.657,132.4,0.0003625,0.0001318,0.7946,58.25,0.0003011,5.005e-05,0.4117,0.0,0.0,0.0,3.209,6.0,0.6757,1.18e-13,0.0,9.784,7.183,7.471,7.376,7.376,10.0,10263598,1,145.74362331,199.64462756,7.4066,390.1,12.5068,16.671,8.038,5096,3.007,0.72531,0.019006,69.37,8.1,74.209
010321972-01,0.2,PC,0,0,0,0,TOO_FEW_QUARTERS,122.131801,228.221052,17.237,6.018,7.902,1.258,1.189,0.0,0.0,0.0,16.53,7.384,5.804,5.861,2.275,5.122,2.745,14.47,3.991,3.546,3.528,1.187,5.139,2.775,3.88,0.789,3911.0,0.001273,0.0005688,0.4927,2873.0,0.001104,0.0003047,0.04585,0.0,0.0,0.4692,4.935,50.63,0.8283,5.92e-12,0.1485,8.686,21.63,8.328,7.853,7.853,3.0,10321972,1,122.13180143,228.22105188,7.9023,1469.9,17.2374,3.784,0.894,5592,4.418,0.44036,0.038787,36.55,9.0,3.611
010658177-01,0.57,PC,0,0,0,0,,113.085831,217.132654,9.602,4.702,9.287,0.5611,0.565,0.0,0.3368,0.293,15.68,4.984,4.717,4.196,1.297,5.214,2.903,15.08,4.332,2.677,3.23,0.8998,5.22,2.914,1.85,0.869,1431.0,0.0001362,4.329e-05,0.9721,1530.0,0.0001309,3.761e-05,0.9723,0.0,0.0,0.0,5.419,5.04,0.8811,2e-18,0.4321,11.11,12.01,7.376,9.259,9.259,12.0,10658177,1,113.08583148,217.13265359,9.2867,135.3,9.6025,1.88,1.4,5903,4.179,0.46959,0.012306,46.75,9.7,9.669
011357185-01,0.08,PC,0,0,0,0,EYEBALL---CLEAR_APO---TOO_FEW_QUARTERS,185.238695,177.288419,4.599,4.685,7.129,1.263,1.039,0.6364,1.995,0.01747,11.67,5.931,5.082,5.093,1.435,5.437,3.269,9.357,4.95,4.163,4.842,1.123,5.523,3.403,3.81,0.978,3885.0,0.000435,0.0002211,0.3991,4366.0,0.0004268,0.0002258,0.399,0.0,0.0,0.0,6.755,14.86,1.006,2.25e-12,0.4777,9.816,9.004,7.59,7.11,7.417,4.0,11357185,1,185.23869502,177.28841862,7.1291,490.3,4.5987,3.484,1.131,6218,4.417,0.67945,0.028229,97.76,7.6,3.711
011565903-01,0.07,PC,0,0,0,0,,117.140974,245.084927,3.87,4.429,7.285,0.8417,1.495,0.0,0.1468,0.4013,12.91,7.357,6.786,8.221,2.114,5.377,3.171,11.47,6.296,5.412,6.406,1.674,5.449,3.288,21.8,0.917,94.73,0.0003837,0.0002186,0.8211,107.6,0.0004133,0.0002269,0.8211,0.0,0.0,0.0,7.156,12.38,0.9411,9.56e-12,0.5544,9.582,7.109,7.176,7.311,6.909,10.0,11565903,1,117.14097409,245.08492668,7.2848,461.1,3.8697,21.561,8.243,5282,2.932,0.60195,0.02397,105.31,7.9,130.777
011658036-01,0.2,PC,0,0,0,0,,142.702421,212.034896,5.872,4.123,8.557,1.148,1.549,0.0,2.665,1.627,12.59,4.275,3.871,4.217,1.15,5.343,3.117,11.28,3.86,3.532,3.485,1.018,5.351,3.131,2.16,0.808,2887.0,0.0002204,7.488e-05,0.9961,2631.0,0.0002018,6.908e-05,0.3794,0.0,0.0,0.0,6.182,7.48,0.8225,2.99e-16,0.1251,10.86,11.97,8.439,8.506,8.506,10.0,11658036,1,142.70242071,212.03489627,8.5572,204.2,5.8718,2.04,1.289,6701,4.326,0.58097,0.014502,113.9,8.2,8.893
011757451-01,0.25,PC,0,0,0,0,,177.668842,264.242343,9.098,5.101,9.157,0.9451,1.113,1.674,0.2951,0.767,12.22,5.232,4.153,3.884,1.157,5.308,3.059,12.02,3.839,3.341,3.334,0.9188,5.314,3.07,2.27,0.72,9494.0,0.000768,0.0003288,0.2727,8429.0,0.0007679,0.0002452,0.2724,0.0,0.0,0.0,4.4,20.11,0.7483,3.95e-18,0.0,12.05,11.68,9.422,9.311,8.981,7.0,11757451,1,177.66884159,264.24234315,9.1566,825.0,9.0982,2.166,0.701,4721,4.615,0.55922,0.02832,109.53,10.3,0.699
011922290-01,0.05,PC,0,0,0,0,EYEBALL---TOO_FEW_QUARTERS,114.661574,237.231841,2.743,3.244,7.235,1.977,1.358,0.0,1.119,1.011,9.341,4.655,4.515,5.535,1.265,5.432,3.259,9.105,4.825,4.255,4.169,1.047,5.49,3.351,2.15,0.848,2667.0,0.0002713,0.0001352,0.08986,2674.0,0.0002837,0.0001504,0.9787,0.0,0.0,0.0,14.62,98.99,0.8657,8.45e-12,1.003,9.134,11.32,7.921,7.29,7.29,9.0,11922290,1,114.66157392,237.23184093,7.235,292.6,2.7432,1.388,0.712,5412,4.562,0.40516,0.017869,179.84,7.4,2.374
011967872-01,0.04,PC,0,0,0,0,TOO_FEW_CENTROIDS,134.373341,249.300128,8.776,4.758,7.9,1.051,1.509,0.0,1.013,0.1889,8.645,4.708,3.943,3.82,1.073,5.262,2.983,7.998,4.852,3.238,3.462,0.9289,5.273,3.001,2.22,0.717,6484.0,0.0004027,0.0002193,0.7021,6588.0,0.0003818,0.0002316,0.7018,0.0,0.0,0.0,2.286,8.16,0.7375,2.7e-13,0.4404,9.951,11.22,8.693,7.872,7.872,9.0,11967872,1,134.37334059,249.30012769,7.9001,427.0,8.7763,2.085,0.94,5910,4.505,0.51879,0.020328,84.89,7.7,3.588
